epoch,accuracy,loss,val_accuracy,val_loss
0,0.4124400019645691,1.614440679550171,0.5393000245094299,1.2589869499206543
1,0.5415599942207336,1.2857404947280884,0.6173999905586243,1.0781426429748535
2,0.5934000015258789,1.1466904878616333,0.6449000239372253,1.0078636407852173
3,0.6280400156974792,1.0612937211990356,0.6703000068664551,0.9323588609695435
4,0.6492999792098999,0.9990590810775757,0.6937999725341797,0.8772621154785156
5,0.6656200289726257,0.9571377635002136,0.7067000269889832,0.8355986475944519
6,0.6762400269508362,0.9227135181427002,0.708899974822998,0.8250716924667358
7,0.6866599917411804,0.8943158388137817,0.7351999878883362,0.7658296823501587
8,0.6958000063896179,0.8736596703529358,0.7232000231742859,0.7806730270385742
9,0.7034000158309937,0.8453847765922546,0.7307999730110168,0.7770544290542603
10,0.7077400088310242,0.83795166015625,0.7423999905586243,0.7497307658195496
11,0.7147200107574463,0.8198835253715515,0.741100013256073,0.7571964859962463
12,0.7193199992179871,0.8034316301345825,0.7542999982833862,0.7106421589851379
13,0.7257400155067444,0.7919697165489197,0.7433000206947327,0.7565262913703918
14,0.7272199988365173,0.7763435244560242,0.7491999864578247,0.7225270867347717
15,0.72816002368927,0.7740905284881592,0.7537000179290771,0.7257986664772034
16,0.7332800030708313,0.7583997845649719,0.7583000063896179,0.7078370451927185
17,0.7349799871444702,0.7517657279968262,0.7633000016212463,0.6944632530212402
18,0.7438600063323975,0.73907071352005,0.7652999758720398,0.6859027743339539
19,0.7398800253868103,0.7395431399345398,0.765500009059906,0.674762487411499
20,0.7448400259017944,0.7305024266242981,0.7588000297546387,0.7072041630744934
21,0.7477399706840515,0.718199610710144,0.7610999941825867,0.6984729766845703
22,0.7477800250053406,0.719224214553833,0.7700999975204468,0.6673080921173096
23,0.7534800171852112,0.7047781348228455,0.7742000222206116,0.6564747095108032
24,0.7544199824333191,0.7005236744880676,0.7577999830245972,0.7087762951850891
25,0.7565000057220459,0.6949818730354309,0.7850000262260437,0.6248325109481812
26,0.7589200139045715,0.6902022361755371,0.7811999917030334,0.6403671503067017
27,0.7597200274467468,0.6798821687698364,0.7850000262260437,0.6287009716033936
28,0.7639200091362,0.67759108543396,0.7857000231742859,0.628059983253479
29,0.7648800015449524,0.6749213933944702,0.7839999794960022,0.6546324491500854
